layer,Wq_mean,Wq_var,Wk_mean,Wk_var,Wv_mean,Wv_var
0,0.6806640625,0.27001953125,0.8115234375,0.2607421875,0.6962890625,0.0096893310546875
1,1.65234375,0.08935546875,1.6416015625,0.1112060546875,0.630859375,0.01125335693359375
2,1.68359375,0.0197296142578125,1.771484375,0.0167999267578125,0.90869140625,0.00467681884765625
3,1.5927734375,0.0163726806640625,1.6611328125,0.00553131103515625,0.8623046875,0.0039215087890625
4,1.662109375,0.0157928466796875,1.7001953125,0.00849151611328125,0.91015625,0.003757476806640625
5,1.6728515625,0.00897979736328125,1.7421875,0.00780487060546875,0.93359375,0.004070281982421875
6,1.5791015625,0.007045745849609375,1.6123046875,0.0030078887939453125,0.8662109375,0.00360870361328125
7,1.5771484375,0.004947662353515625,1.5859375,0.002353668212890625,0.876953125,0.004058837890625
8,1.5927734375,0.0036640167236328125,1.6025390625,0.002887725830078125,0.90087890625,0.00383758544921875
9,1.5947265625,0.0034027099609375,1.634765625,0.0034732818603515625,0.9189453125,0.004001617431640625
10,1.5927734375,0.002948760986328125,1.6416015625,0.00405120849609375,0.90966796875,0.00408935546875
11,1.513671875,0.002834320068359375,1.5087890625,0.00389862060546875,0.94775390625,0.005054473876953125
12,1.544921875,0.002593994140625,1.5927734375,0.0034923553466796875,0.9365234375,0.004367828369140625
13,1.529296875,0.00342559814453125,1.5576171875,0.0032405853271484375,0.970703125,0.003925323486328125
14,1.525390625,0.0029277801513671875,1.5546875,0.00484466552734375,0.953125,0.004016876220703125
15,1.5068359375,0.00433349609375,1.55859375,0.0032062530517578125,0.9912109375,0.004055023193359375
16,1.4951171875,0.005229949951171875,1.53515625,0.004550933837890625,1.033203125,0.00421905517578125
17,1.484375,0.0038433074951171875,1.5166015625,0.00406646728515625,1.029296875,0.0038127899169921875
18,1.451171875,0.004207611083984375,1.4833984375,0.00290679931640625,1.078125,0.0039215087890625
19,1.4326171875,0.00519561767578125,1.4609375,0.00496673583984375,1.087890625,0.00371551513671875
20,1.4423828125,0.005588531494140625,1.46875,0.005615234375,1.103515625,0.00409698486328125
21,1.4091796875,0.00675201416015625,1.42578125,0.00511932373046875,1.1376953125,0.004001617431640625
22,1.439453125,0.00550079345703125,1.458984375,0.004375457763671875,1.142578125,0.0038909912109375
23,1.4296875,0.00577545166015625,1.44140625,0.0035381317138671875,1.1962890625,0.003997802734375
24,1.3896484375,0.005664825439453125,1.3974609375,0.005764007568359375,1.1845703125,0.00392913818359375
25,1.4013671875,0.005474090576171875,1.4072265625,0.00360107421875,1.2294921875,0.0038547515869140625
26,1.37890625,0.007259368896484375,1.390625,0.00518035888671875,1.2490234375,0.004405975341796875
27,1.4296875,0.0086669921875,1.4453125,0.0034618377685546875,1.251953125,0.0036602020263671875
28,1.388671875,0.01100921630859375,1.408203125,0.0037994384765625,1.291015625,0.004123687744140625
29,1.3515625,0.01371002197265625,1.3662109375,0.00586700439453125,1.2958984375,0.004833221435546875
30,1.3583984375,0.0182952880859375,1.3818359375,0.00560760498046875,1.3271484375,0.0037078857421875
31,1.3759765625,0.01470947265625,1.427734375,0.011138916015625,1.2099609375,0.004413604736328125
